13:27:01.950715, (127.0.0.1:20001), (192.168.1.12:5000), 0, 0, ACK:0 FIN:0
13:27:02.375879, (127.0.0.1:20001), (192.168.1.12:5000), 576, 576, ACK:0 FIN:0
13:27:02.800395, (127.0.0.1:20001), (192.168.1.12:5000), 1152, 1152, ACK:0 FIN:0
13:27:03.225828, (127.0.0.1:20001), (192.168.1.12:5000), 1728, 1728, ACK:0 FIN:0
13:27:03.651770, (127.0.0.1:20001), (192.168.1.12:5000), 2304, 2304, ACK:0 FIN:0
13:27:04.077566, (127.0.0.1:20001), (192.168.1.12:5000), 2880, 2880, ACK:0 FIN:0
13:27:04.503395, (127.0.0.1:20001), (192.168.1.12:5000), 3456, 3456, ACK:0 FIN:0
13:27:04.929409, (127.0.0.1:20001), (192.168.1.12:5000), 4032, 4032, ACK:0 FIN:0
13:27:05.352478, (127.0.0.1:20001), (192.168.1.12:5000), 4608, 4608, ACK:0 FIN:0
13:27:05.776292, (127.0.0.1:20001), (192.168.1.12:5000), 5184, 5184, ACK:0 FIN:0
13:27:06.200755, (127.0.0.1:20001), (192.168.1.12:5000), 5760, 5760, ACK:0 FIN:0
13:27:06.626519, (127.0.0.1:20001), (192.168.1.12:5000), 6336, 6336, ACK:0 FIN:0
13:27:07.051297, (127.0.0.1:20001), (192.168.1.12:5000), 6912, 6912, ACK:0 FIN:0
13:27:07.477133, (127.0.0.1:20001), (192.168.1.12:5000), 7488, 7488, ACK:0 FIN:0
13:27:07.902844, (127.0.0.1:20001), (192.168.1.12:5000), 8064, 8064, ACK:0 FIN:0
13:27:08.327802, (127.0.0.1:20001), (192.168.1.12:5000), 8640, 8640, ACK:0 FIN:0
13:27:08.751570, (127.0.0.1:20001), (192.168.1.12:5000), 9216, 9216, ACK:0 FIN:0
13:27:09.177228, (127.0.0.1:20001), (192.168.1.12:5000), 9792, 9792, ACK:0 FIN:0
13:27:09.602383, (127.0.0.1:20001), (192.168.1.12:5000), 10368, 10368, ACK:0 FIN:0
13:27:10.026539, (127.0.0.1:20001), (192.168.1.12:5000), 10944, 10944, ACK:0 FIN:0
13:27:10.449654, (127.0.0.1:20001), (192.168.1.12:5000), 11520, 11520, ACK:0 FIN:0
13:27:10.875527, (127.0.0.1:20001), (192.168.1.12:5000), 12096, 12096, ACK:0 FIN:0
13:27:11.301356, (127.0.0.1:20001), (192.168.1.12:5000), 12672, 12672, ACK:0 FIN:0
13:27:11.725623, (127.0.0.1:20001), (192.168.1.12:5000), 13248, 13248, ACK:0 FIN:0
13:27:12.150042, (127.0.0.1:20001), (192.168.1.12:5000), 13824, 13824, ACK:0 FIN:0
13:27:12.571903, (127.0.0.1:20001), (192.168.1.12:5000), 14400, 14400, ACK:0 FIN:0
13:27:13.029173, (127.0.0.1:20001), (192.168.1.12:5000), 14976, 14976, ACK:0 FIN:0
13:27:13.452900, (127.0.0.1:20001), (192.168.1.12:5000), 15552, 15552, ACK:0 FIN:0
13:27:13.876154, (127.0.0.1:20001), (192.168.1.12:5000), 16128, 16128, ACK:0 FIN:0
13:27:14.299899, (127.0.0.1:20001), (192.168.1.12:5000), 16704, 16704, ACK:0 FIN:0
13:27:14.723888, (127.0.0.1:20001), (192.168.1.12:5000), 17280, 17280, ACK:0 FIN:0
13:27:15.149243, (127.0.0.1:20001), (192.168.1.12:5000), 17856, 17856, ACK:0 FIN:0
13:27:15.575429, (127.0.0.1:20001), (192.168.1.12:5000), 18432, 18432, ACK:0 FIN:0
13:27:16.020335, (127.0.0.1:20001), (192.168.1.12:5000), 19008, 19008, ACK:0 FIN:0
13:27:16.444755, (127.0.0.1:20001), (192.168.1.12:5000), 19584, 19584, ACK:0 FIN:0
13:27:16.868066, (127.0.0.1:20001), (192.168.1.12:5000), 20160, 20160, ACK:0 FIN:0
13:27:17.291782, (127.0.0.1:20001), (192.168.1.12:5000), 20736, 20736, ACK:0 FIN:0
13:27:17.716545, (127.0.0.1:20001), (192.168.1.12:5000), 21312, 21312, ACK:0 FIN:0
13:27:18.141150, (127.0.0.1:20001), (192.168.1.12:5000), 21888, 21888, ACK:0 FIN:0
13:27:18.563212, (127.0.0.1:20001), (192.168.1.12:5000), 22464, 22464, ACK:0 FIN:0
13:27:19.028106, (127.0.0.1:20001), (192.168.1.12:5000), 23040, 23040, ACK:0 FIN:0
13:27:19.452470, (127.0.0.1:20001), (192.168.1.12:5000), 23616, 23616, ACK:0 FIN:0
13:27:19.874364, (127.0.0.1:20001), (192.168.1.12:5000), 24192, 24192, ACK:0 FIN:0
13:27:20.297730, (127.0.0.1:20001), (192.168.1.12:5000), 24768, 24768, ACK:0 FIN:0
13:27:20.721959, (127.0.0.1:20001), (192.168.1.12:5000), 25344, 25344, ACK:0 FIN:0
13:27:21.146849, (127.0.0.1:20001), (192.168.1.12:5000), 25920, 25920, ACK:0 FIN:0
13:27:21.569049, (127.0.0.1:20001), (192.168.1.12:5000), 26496, 26496, ACK:0 FIN:0
13:27:22.034013, (127.0.0.1:20001), (192.168.1.12:5000), 27072, 27072, ACK:0 FIN:0
13:27:22.456506, (127.0.0.1:20001), (192.168.1.12:5000), 27648, 27648, ACK:0 FIN:0
13:27:22.878720, (127.0.0.1:20001), (192.168.1.12:5000), 28224, 28224, ACK:0 FIN:0
13:27:23.301159, (127.0.0.1:20001), (192.168.1.12:5000), 28800, 28800, ACK:0 FIN:0
13:27:23.724655, (127.0.0.1:20001), (192.168.1.12:5000), 29376, 29376, ACK:0 FIN:0
13:27:24.145640, (127.0.0.1:20001), (192.168.1.12:5000), 29952, 29952, ACK:0 FIN:0
13:27:24.569612, (127.0.0.1:20001), (192.168.1.12:5000), 30528, 30528, ACK:0 FIN:0
13:27:25.012475, (127.0.0.1:20001), (192.168.1.12:5000), 31104, 31104, ACK:0 FIN:0
